# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   71       2.540645037854e-10       4.596271041320e-14      -8.268790389934e-13       2.062889905116e-16       2.393581739434e-11       2.837884973698e-12      -1.000728997110e-14 
   72       2.573787770693e-10       4.776805302875e-14      -8.887831692506e-13       2.121587522591e-16       2.314894316443e-11       2.757475593185e-12      -9.850543879546e-15 
   73       2.607228809816e-10       4.960187591802e-14      -9.523440575455e-13       2.181106939943e-16       2.239344849292e-11       2.680297147202e-12      -9.670945499812e-15 
   74       2.640980089858e-10       5.146297087314e-14      -1.017519009893e-12       2.241449300188e-16       2.166938447180e-11       2.606338416170e-12      -9.474294603840e-15 
   75       2.675049987804e-10       5.335005514037e-14      -1.084261361919e-12       2.302615916935e-16       2.097630036676e-11       2.535533257262e-12      -9.267088083426e-15 
   76       2.709443097839e-10       5.526177025849e-14      -1.152520406628e-12       2.364608281409e-16       2.031321924891e-11       2.467757956963e-12      -9.056543365162e-15 
   77       2.744160006213e-10       5.719668089706e-14      -1.222241322172e-12       2.427428069463e-16       1.967861362642e-11       2.402828583644e-12      -8.850621825361e-15 
   78       2.779197066090e-10       5.915327369482e-14      -1.293365099618e-12       2.491077148593e-16       1.907038107628e-11       2.340498340122e-12      -8.658052204992e-15 
   79       2.814546172409e-10       6.112995609798e-14      -1.365828470716e-12       2.555557584955e-16       1.848581987594e-11       2.280454916228e-12      -8.488354024610e-15 
   80       2.850199192832e-10       6.312510755900e-14      -1.439569258892e-12       2.620871598000e-16       1.792230005704e-11       2.222397876445e-12      -8.349594375459e-15 
   81       2.886162642087e-10       6.513724592840e-14      -1.514543661339e-12       2.687021399861e-16       1.737946438740e-11       2.166292124687e-12      -8.241158138144e-15 
   82       2.922445156988e-10       6.716488797419e-14      -1.590711850429e-12       2.754009340751e-16       1.685736692967e-11       2.112153830897e-12      -8.159759062183e-15 
   83       2.959052929920e-10       6.920649939898e-14      -1.668032844827e-12       2.821837964817e-16       1.635580025643e-11       2.059973158324e-12      -8.101576597786e-15 
   84       2.995989569916e-10       7.126049464786e-14      -1.746464537690e-12       2.890510016184e-16       1.587428396004e-11       2.009713098218e-12      -8.062237336273e-15 
   85       3.033255963742e-10       7.332523671645e-14      -1.825963724863e-12       2.960028445002e-16       1.541205316256e-11       1.961308304528e-12      -8.036796450488e-15 
   86       3.070850136975e-10       7.539903695883e-14      -1.906486133079e-12       3.030396413494e-16       1.496804702558e-11       1.914663928600e-12      -8.019719135219e-15 
   87       3.108767115083e-10       7.748015489551e-14      -1.987986448157e-12       3.101617301997e-16       1.454089726015e-11       1.869654453875e-12      -8.004862047610e-15 
   88       3.146998784510e-10       7.956679802140e-14      -2.070418343200e-12       3.173694715008e-16       1.412891663663e-11       1.826122530585e-12      -7.985454747579e-15 
   89       3.185537001738e-10       8.165714673898e-14      -2.153733048122e-12       3.246632371724e-16       1.373050081398e-11       1.783917802621e-12      -7.955552774231e-15 
   90       3.224383782230e-10       8.374943405876e-14      -2.237874739607e-12       3.320433744785e-16       1.334543111240e-11       1.743022908356e-12      -7.914698558043e-15 
   91       3.263542461295e-10       8.584187810557e-14      -2.322784476574e-12       3.395102375738e-16       1.297375588455e-11       1.703445190236e-12      -7.863960861033e-15 
   92       3.303014499381e-10       8.793265828817e-14      -2.408401600725e-12       3.470641989748e-16       1.261539016461e-11       1.665177903890e-12      -7.804531666758e-15 
   93       3.342799391817e-10       9.001991548360e-14      -2.494663742894e-12       3.547056499923e-16       1.227011037025e-11       1.628199651955e-12      -7.737729667705e-15 
   94       3.382894578554e-10       9.210175222157e-14      -2.581506829388e-12       3.624350011619e-16       1.193754900455e-11       1.592473817913e-12      -7.665003752697e-15 
   95       3.423295353901e-10       9.417623286881e-14      -2.668865088337e-12       3.702526826763e-16       1.161718935791e-11       1.557947999916e-12      -7.587936494283e-15 
   96       3.463994776270e-10       9.624138381348e-14      -2.756671056036e-12       3.781591448163e-16       1.130836021000e-11       1.524553444621e-12      -7.508247636138e-15 
   97       3.504983577911e-10       9.829519364951e-14      -2.844855583293e-12       3.861548583826e-16       1.101023053171e-11       1.492204481020e-12      -7.427797580463e-15 
   98       3.546250074653e-10       1.003356133610e-13      -2.933347841774e-12       3.942403151269e-16       1.072180418704e-11       1.460797954270e-12      -7.348590875377e-15 
   99       3.587783063188e-10       1.023606034685e-13      -3.022076711988e-12       4.024160308962e-16       1.044214824477e-11       1.430237839734e-12      -7.272374276796e-15 
  100       3.629581176269e-10       1.043682826887e-13      -3.110975157866e-12       4.106825546381e-16       1.017112626461e-11       1.400514286961e-12      -7.199358435933e-15 
  101       3.671644691080e-10       1.063568007715e-13      -3.199976486475e-12       4.190404614789e-16       9.908759515720e-12       1.371634771915e-12      -7.129320786055e-15 
  102       3.713972606550e-10       1.083242941609e-13      -3.289013044454e-12       4.274903505827e-16       9.655000197683e-12       1.343599657937e-12      -7.061993406041e-15 
  103       3.756562589298e-10       1.102688867485e-13      -3.378016241108e-12       4.360328456163e-16       9.409728974117e-12       1.316401934788e-12      -6.997061593531e-15 
  104       3.799410919592e-10       1.121886906269e-13      -3.466916571502e-12       4.446685952135e-16       9.172752506226e-12       1.290026957699e-12      -6.934162438069e-15 
  105       3.842512437295e-10       1.140818068437e-13      -3.555643639551e-12       4.533982734396e-16       8.943800986362e-12       1.264452186411e-12      -6.872883394260e-15 
  106       3.885860487824e-10       1.159463261550e-13      -3.644126181113e-12       4.622225802554e-16       8.722525671594e-12       1.239646924224e-12      -6.812760854911e-15 
  107       3.929446868097e-10       1.177803297787e-13      -3.732292087083e-12       4.711422419818e-16       8.508496417269e-12       1.215572057044e-12      -6.753278724185e-15 
  108       3.973261772487e-10       1.195818901484e-13      -3.820068426485e-12       4.801580117643e-16       8.301199210577e-12       1.192179792425e-12      -6.693866990746e-15 
  109       4.017293738777e-10       1.213490716672e-13      -3.907381469564e-12       4.892706700371e-16       8.100033704116e-12       1.169413398616e-12      -6.633900300910e-15 
  110       4.061531573655e-10       1.230799793202e-13      -3.994157222241e-12       4.984810063980e-16       7.904448562211e-12       1.147220324310e-12      -6.572825099426e-15 
  111       4.105970525246e-10       1.247729099684e-13      -4.080323057664e-12       5.077897615996e-16       7.714372478222e-12       1.125594026082e-12      -6.510562606270e-15 
  112       4.150606803063e-10       1.264262219179e-13      -4.165806337650e-12       5.171976789688e-16       7.529833958957e-12       1.104537030499e-12      -6.447154981804e-15 
  113       4.195435634872e-10       1.280382900008e-13      -4.250533947781e-12       5.267055226109e-16       7.350827343557e-12       1.084047903969e-12      -6.382641207867e-15 
  114       4.240451232106e-10       1.296075067999e-13      -4.334432325525e-12       5.363140776919e-16       7.177311691488e-12       1.064121123285e-12      -6.317056924483e-15 
  115       4.285646755267e-10       1.311322838721e-13      -4.417427488355e-12       5.460241507195e-16       7.009209670527e-12       1.044746946183e-12      -6.250434266579e-15 
  116       4.331014279338e-10       1.326110529725e-13      -4.499445061866e-12       5.558365698252e-16       6.846406444756e-12       1.025911281892e-12      -6.182801700692e-15 
  117       4.376544759187e-10       1.340422672784e-13      -4.580410307892e-12       5.657521850459e-16       6.688748562546e-12       1.007595561682e-12      -6.114183861686e-15 
  118       4.422227994975e-10       1.354244026136e-13      -4.660248152628e-12       5.757718686053e-16       6.536042844552e-12       9.897766094189e-13      -6.044601389462e-15 
  119       4.468052597564e-10       1.367559586718e-13      -4.738883214746e-12       5.858965151960e-16       6.388055271700e-12       9.724265121129e-13      -5.974070765671e-15 
  120       4.514005953924e-10       1.380354602408e-13      -4.816239833511e-12       5.961270422608e-16       6.244509873172e-12       9.555124904728e-13      -5.902604150428e-15 
  121       4.560074192542e-10       1.392614584268e-13      -4.892242096907e-12       6.064643902746e-16       6.105087614405e-12       9.389967694557e-13      -5.830209219023e-15 
  122       4.606242148827e-10       1.404325318778e-13      -4.966813869744e-12       6.169095230261e-16       5.969425285073e-12       9.228364488180e-13      -5.756888998634e-15 
  123       4.652495183874e-10       1.415473356248e-13      -5.039879787986e-12       6.274633876760e-16       5.837193885587e-12       9.069935423419e-13      -5.682670347994e-15 
  124       4.698824951036e-10       1.426047513493e-13      -5.111368311141e-12       6.381267891376e-16       5.708346351897e-12       8.914666771635e-13      -5.607693448872e-15 
  125       4.745224229719e-10       1.436037567659e-13      -5.181209075155e-12       6.489005017288e-16       5.582896326626e-12       8.762628091239e-13      -5.532132335691e-15 
  126       4.791685111558e-10       1.445433811338e-13      -5.249331992977e-12       6.597853080679e-16       5.460840728076e-12       8.613873313396e-13      -5.456167234847e-15 
  127       4.838198980404e-10       1.454227068551e-13      -5.315667290276e-12       6.707819990388e-16       5.342159263698e-12       8.468440247598e-13      -5.379984626787e-15 
  128       4.884756492317e-10       1.462408710742e-13      -5.380145541163e-12       6.818913737565e-16       5.226813943559e-12       8.326350087223e-13      -5.303777308072e-15 
  129       4.931347555553e-10       1.469970672756e-13      -5.442697703909e-12       6.931142395320e-16       5.114748593813e-12       8.187606915106e-13      -5.227744453452e-15 
  130       4.977961310552e-10       1.476905468829e-13      -5.503255156670e-12       7.044514118377e-16       5.005888370168e-12       8.052197209102e-13      -5.152091677934e-15 
  131       5.024586109931e-10       1.483206208575e-13      -5.561749733201e-12       7.159037142723e-16       4.900139271361e-12       7.920089347654e-13      -5.077031098853e-15 
  132       5.071209498468e-10       1.488866612969e-13      -5.618113758581e-12       7.274719785265e-16       4.797387652622e-12       7.791233115360e-13      -5.002781397943e-15 
  133       5.117818193096e-10       1.493881030336e-13      -5.672280084930e-12       7.391570443478e-16       4.697499739145e-12       7.665559208539e-13      -4.929567883405e-15 
  134       5.164398062891e-10       1.498244452336e-13      -5.724182127134e-12       7.509597595056e-16       4.600321139558e-12       7.542978740794e-13      -4.857622551978e-15 
  135       5.210934109060e-10       1.501952529949e-13      -5.773753898557e-12       7.628809797570e-16       4.505676359394e-12       7.423382748583e-13      -4.787184151010e-15 
  136       5.257410444930e-10       1.505001589465e-13      -5.820930046769e-12       7.749215688114e-16       4.413368314557e-12       7.306641696781e-13      -4.718498240530e-15 
  137       5.303811666483e-10       1.507388920658e-13      -5.865646498692e-12       7.870823711780e-16       4.323220154323e-12       7.192631307864e-13      -4.651757133095e-15 
  138       5.350127166380e-10       1.509113641153e-13      -5.907842395774e-12       7.993641276097e-16       4.235206644652e-12       7.081314112602e-13      -4.586912567638e-15 
  139       5.396347230480e-10       1.510175952231e-13      -5.947458427728e-12       8.117675508027e-16       4.149335521124e-12       6.972665439981e-13      -4.523843678717e-15 
  140       5.442461676280e-10       1.510576892211e-13      -5.984436280284e-12       8.242933515244e-16       4.065606183310e-12       6.866647526458e-13      -4.462415062878e-15 
  141       5.488459841719e-10       1.510318354165e-13      -6.018718674787e-12       8.369422384062e-16       3.984009476790e-12       6.763209188604e-13      -4.402476459123e-15 
  142       5.534330574004e-10       1.509403103628e-13      -6.050249407775e-12       8.497149177373e-16       3.904527475170e-12       6.662285495756e-13      -4.343862429369e-15 
  143       5.580062218417e-10       1.507834796318e-13      -6.078973390576e-12       8.626120932567e-16       3.827133262093e-12       6.563797442662e-13      -4.286392038915e-15 
  144       5.625642607135e-10       1.505617995843e-13      -6.104836688892e-12       8.756344659473e-16       3.751790713264e-12       6.467651622128e-13      -4.229868536899e-15 
  145       5.671059048045e-10       1.502758191420e-13      -6.127786562386e-12       8.887827338285e-16       3.678454278458e-12       6.373739897663e-13      -4.174079036767e-15 
  146       5.716298313556e-10       1.499261815586e-13      -6.147771504276e-12       9.020575917490e-16       3.607068763540e-12       6.281939076133e-13      -4.118794196735e-15 
  147       5.761346629417e-10       1.495136261912e-13      -6.164741280917e-12       9.154597311806e-16       3.537569112480e-12       6.192110580402e-13      -4.063767900247e-15 
  148       5.806189663533e-10       1.490389902719e-13      -6.178646971393e-12       9.289898400107e-16       3.469880189370e-12       6.104100121982e-13      -4.008736936444e-15 
  149       5.850812514778e-10       1.485032106788e-13      -6.189441007105e-12       9.426486023356e-16       3.403916560440e-12       6.017737373677e-13      -3.953420680623e-15 
  150       5.895199701812e-10       1.479073257078e-13      -6.197077211359e-12       9.564366982535e-16       3.339582276074e-12       5.932835642238e-13      -3.897520774703e-15 
  151       5.939335151895e-10       1.472524768436e-13      -6.201510838954e-12       9.703548036577e-16       3.276770652824e-12       5.849191541001e-13      -3.840720807685e-15 
  152       5.983202189704e-10       1.465399105315e-13      -6.202698615770e-12       9.844035900295e-16       3.215364055430e-12       5.766584662539e-13      -3.782685996117e-15 
  153       6.026784752177e-10       1.457709633471e-13      -6.200599010541e-12       9.985836693906e-16       3.155258219389e-12       5.684828346213e-13      -3.723144445866e-15 
  154       6.070071183632e-10       1.449470122279e-13      -6.195172995275e-12       1.012895423839e-15       3.096438220967e-12       5.603927978784e-13      -3.662140107889e-15 
  155       6.113050773670e-10       1.440695229725e-13      -6.186383431316e-12       1.027339159702e-15       3.038909184878e-12       5.523936850153e-13      -3.599802831651e-15 
  156       6.155712557953e-10       1.431400680987e-13      -6.174194883938e-12       1.041915160471e-15       2.982672286060e-12       5.444906314134e-13      -3.536268991836e-15 
  157       6.198045313253e-10       1.421603285305e-13      -6.158573663120e-12       1.056623686317e-15       2.927724656677e-12       5.366885721324e-13      -3.471681584298e-15 
  158       6.240037552520e-10       1.411320952848e-13      -6.139487864315e-12       1.071464973601e-15       2.874059293118e-12       5.289922351972e-13      -3.406190322019e-15 
  159       6.281677519937e-10       1.400572711581e-13      -6.116907409221e-12       1.086439234392e-15       2.821664962998e-12       5.214061348854e-13      -3.339951731053e-15 
  160       6.322953185981e-10       1.389378724137e-13      -6.090804086550e-12       1.101546655976e-15       2.770526112156e-12       5.139345650139e-13      -3.273129246485e-15 
  161       6.363852242480e-10       1.377760304681e-13      -6.061151592803e-12       1.116787400374e-15       2.720622771654e-12       5.065815922263e-13      -3.205893308379e-15 
  162       6.404362097676e-10       1.365739935783e-13      -6.027925573037e-12       1.132161603855e-15       2.671930464782e-12       4.993510492801e-13      -3.138421457733e-15 
  163       6.444469871283e-10       1.353341285283e-13      -5.991103661639e-12       1.147669376447e-15       2.624420114052e-12       4.922465283333e-13      -3.070898432428e-15 
  164       6.484162389545e-10       1.340589223159e-13      -5.950665523094e-12       1.163310801452e-15       2.578057948202e-12       4.852713742320e-13      -3.003516263183e-15 
