# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.878975151591e-02       2.969850710587e+04 
       1.890552918366e-02       2.963089230383e+04 
       1.902138208306e-02       2.956220533777e+04 
       1.913731167218e-02       2.949260426794e+04 
       1.925331944516e-02       2.942200248680e+04 
       1.936940693303e-02       2.935040404202e+04 
       1.948557570450e-02       2.927795935797e+04 
       1.960182736688e-02       2.920452092032e+04 
       1.971816356692e-02       2.913039387461e+04 
       1.983458599175e-02       2.905524089777e+04 
       1.995109636982e-02       2.897924579512e+04 
       2.006769647190e-02       2.890253536730e+04 
       2.018438811204e-02       2.882487138525e+04 
       2.030117314864e-02       2.874650781183e+04 
       2.041805348555e-02       2.866739669778e+04 
       2.053503107310e-02       2.858752187467e+04 
       2.065210790932e-02       2.850694777212e+04 
       2.076928604110e-02       2.842558098109e+04 
       2.088656756536e-02       2.834352619393e+04 
       2.100395463038e-02       2.826082582734e+04 
       2.112144943704e-02       2.817751645587e+04 
       2.123905424017e-02       2.809350740063e+04 
       2.135677134997e-02       2.800889801970e+04 
       2.147460313338e-02       2.792374662663e+04 
       2.159255201561e-02       2.783796297145e+04 
       2.171062048161e-02       2.775158433234e+04 
       2.182881107768e-02       2.766465275968e+04 
       2.194712641310e-02       2.757725227850e+04 
       2.206556916176e-02       2.748924413616e+04 
       2.218414206396e-02       2.740082163231e+04 
       2.230284792814e-02       2.731186678015e+04 
       2.242168963278e-02       2.722243145831e+04 
       2.254067012831e-02       2.713258742852e+04 
       2.265979243906e-02       2.704230102116e+04 
       2.277905966536e-02       2.695155223463e+04 
       2.289847498562e-02       2.686037179096e+04 
       2.301804165853e-02       2.676891217885e+04 
       2.313776302535e-02       2.667701022881e+04 
       2.325764251225e-02       2.658473605543e+04 
       2.337768363273e-02       2.649210378814e+04 
       2.349788999016e-02       2.639913895733e+04 
       2.361826528040e-02       2.630583359214e+04 
       2.373881329446e-02       2.621224253336e+04 
       2.385953792133e-02       2.611827517879e+04 
       2.398044315090e-02       2.602423831148e+04 
       2.410153307694e-02       2.592983044112e+04 
       2.422281190023e-02       2.583508133468e+04 
       2.434428393182e-02       2.574014482115e+04 
       2.446595359636e-02       2.564505614494e+04 
       2.458782543558e-02       2.554962235011e+04 
       2.470990411197e-02       2.545403335423e+04 
       2.483219441246e-02       2.535823668022e+04 
       2.495470125236e-02       2.526233990631e+04 
       2.507742967943e-02       2.516614987924e+04 
       2.520038487806e-02       2.506988322038e+04 
       2.532357217365e-02       2.497337500825e+04 
       2.544699703721e-02       2.487680386295e+04 
       2.557066509004e-02       2.478008055031e+04 
       2.569458210868e-02       2.468326686681e+04 
       2.581875403005e-02       2.458627040102e+04 
       2.594318695678e-02       2.448926061676e+04 
       2.606788716274e-02       2.439207145608e+04 
       2.619286109890e-02       2.429487581703e+04 
       2.631811539930e-02       2.419761252959e+04 
       2.644365688737e-02       2.410023071597e+04 
       2.656949258250e-02       2.400289498205e+04 
       2.669562970688e-02       2.390545583054e+04 
       2.682207569261e-02       2.380791066812e+04 
       2.694883818922e-02       2.371034077077e+04 
       2.707592507139e-02       2.361290027933e+04 
       2.720334444715e-02       2.351537619344e+04 
       2.733110466633e-02       2.341781547547e+04 
       2.745921432949e-02       2.332025124164e+04 
       2.758768229717e-02       2.322277572566e+04 
       2.771651769967e-02       2.312530177589e+04 
       2.784572994721e-02       2.302774717966e+04 
       2.797532874062e-02       2.293030745670e+04 
       2.810532408246e-02       2.283293428950e+04 
       2.823572628878e-02       2.273568017869e+04 
       2.836654600141e-02       2.263833573075e+04 
       2.849779420081e-02       2.254104816285e+04 
       2.862948221961e-02       2.244385697966e+04 
       2.876162175681e-02       2.234679976088e+04 
       2.889422489271e-02       2.224973298677e+04 
       2.902730410456e-02       2.215283277284e+04 
       2.916087228309e-02       2.205596021175e+04 
       2.929494274984e-02       2.195923295547e+04 
       2.942952927541e-02       2.186254333414e+04 
       2.956464609872e-02       2.176598126479e+04 
       2.970030794728e-02       2.166947930104e+04 
       2.983653005854e-02       2.157310736699e+04 
       2.997332820245e-02       2.147686183827e+04 
       3.011071870525e-02       2.138070688627e+04 
       3.024871847465e-02       2.128468764897e+04 
       3.038734502633e-02       2.118877368513e+04 
       3.052661651207e-02       2.109303331753e+04 
       3.066655174945e-02       2.099745149761e+04 
       3.080717025335e-02       2.090185400467e+04 
       3.094849226925e-02       2.080646886420e+04 
       3.109053880859e-02       2.071124081456e+04 
       3.123333168627e-02       2.061606549209e+04 
       3.137689356045e-02       2.052105300800e+04 
       3.152124797482e-02       2.042627970291e+04 
       3.166641940356e-02       2.033165706925e+04 
       3.181243329916e-02       2.023704726399e+04 
       3.195931614334e-02       2.014262059772e+04 
       3.210709550131e-02       2.004830814825e+04 
       3.225580007958e-02       1.995416433133e+04 
       3.240545978774e-02       1.986021440940e+04 
       3.255610580438e-02       1.976637848191e+04 
       3.270777064756e-02       1.967266392496e+04 
       3.286048825027e-02       1.957903666244e+04 
       3.301429404117e-02       1.948568837772e+04 
       3.316922503112e-02       1.939240649673e+04 
       3.332531990612e-02       1.929925175840e+04 
       3.348261912700e-02       1.920618898406e+04 
       3.364116503662e-02       1.911338003780e+04 
       3.380100197525e-02       1.902063992163e+04 
       3.396217640486e-02       1.892801912258e+04 
       3.412473704305e-02       1.883553449546e+04 
       3.428873500773e-02       1.874301055474e+04 
       3.445422397347e-02       1.865082624375e+04 
       3.462126034056e-02       1.855861739968e+04 
       3.478990341831e-02       1.846662673912e+04 
       3.496021562374e-02       1.837470121525e+04 
       3.513226269738e-02       1.828280542657e+04 
       3.530611393793e-02       1.819104002056e+04 
       3.548184245786e-02       1.809938585468e+04 
       3.565952546193e-02       1.800780681218e+04 
       3.583924455151e-02       1.791632733843e+04 
       3.602108605724e-02       1.782489979273e+04 
       3.620514140343e-02       1.773348102762e+04 
       3.639150750778e-02       1.764208468503e+04 
       3.658028722053e-02       1.755076344047e+04 
       3.677158980783e-02       1.745945566241e+04 
       3.696553148464e-02       1.736823773114e+04 
       3.716223600330e-02       1.727695511727e+04 
       3.736183530482e-02       1.718563330302e+04 
       3.756447024092e-02       1.709441179254e+04 
       3.777029137619e-02       1.700306052515e+04 
       3.797945988100e-02       1.691164552112e+04 
       3.819214852768e-02       1.682022675315e+04 
       3.840854280422e-02       1.672869523188e+04 
       3.862884216247e-02       1.663705142784e+04 
       3.885326142018e-02       1.654531659340e+04 
       3.908203234004e-02       1.645337002604e+04 
       3.931540541240e-02       1.636127792974e+04 
       3.955365187363e-02       1.626900672371e+04 
       3.979706599746e-02       1.617650606012e+04 
       4.004596770395e-02       1.608376386584e+04 
       4.030070553905e-02       1.599073235793e+04 
       4.056166008822e-02       1.589735730154e+04 
       4.082924790010e-02       1.580368663993e+04 
       4.110392601194e-02       1.570958036036e+04 
       4.138619718772e-02       1.561507888345e+04 
       4.167661600346e-02       1.552000238729e+04 
       4.197579594424e-02       1.542447017235e+04 
       4.228441771406e-02       1.532826273758e+04 
       4.260323900618e-02       1.523143247412e+04 
       4.293310604007e-02       1.513379822462e+04 
       4.327496724488e-02       1.503534295624e+04 
       4.362988956264e-02       1.493593342104e+04 
       4.399907796400e-02       1.483553597958e+04 
       4.438389892014e-02       1.473394838430e+04 
       4.478590876842e-02       1.463102097849e+04 
       4.520688815505e-02       1.452663761373e+04 
       4.564888405036e-02       1.442055775463e+04 
       4.611426122503e-02       1.431255629573e+04 
       4.660576556318e-02       1.420230042273e+04 
       4.712660217591e-02       1.408959261900e+04 
       4.768053195728e-02       1.397392105016e+04 
       4.827199093337e-02       1.385477998367e+04 
       4.890623734290e-02       1.373158018380e+04 
       4.958953149782e-02       1.360347507889e+04 
       5.032935236083e-02       1.346945333788e+04 
       5.113465095559e-02       1.332823728253e+04 
       5.201613138512e-02       1.317807214670e+04 
       5.298653040459e-02       1.301667997600e+04 
       5.406082827785e-02       1.284109609213e+04 
       5.525625699353e-02       1.264738211268e+04 
       5.659187133660e-02       1.243051607555e+04 
       5.808733473876e-02       1.218415336787e+04 
       5.976053863449e-02       1.190114511244e+04 
       6.162393201301e-02       1.157417875042e+04 
       6.368022441642e-02       1.119771945975e+04 
       6.591927076992e-02       1.077049813135e+04 
       6.831837140742e-02       1.029778615801e+04 
       7.084668078955e-02       9.791935411146e+03 
       7.347169455168e-02       9.270657823148e+03 
       7.616463927640e-02       8.753689256633e+03 
       7.890304410401e-02       8.259358621484e+03 
       8.167084084864e-02       7.802021083865e+03 
       8.445720592514e-02       7.391073747293e+03 
       8.725512817425e-02       7.030573359210e+03 
       9.006017781535e-02       6.720123663982e+03 
       9.286959928654e-02       6.455661376710e+03 
       9.568169481647e-02       6.230630675119e+03 
       9.849542439788e-02       6.037053959852e+03 
       1.013101531060e-01       5.866307299725e+03 
       1.041254940331e-01       5.710170235978e+03 
       1.069412115928e-01       5.561258336553e+03 
       1.097571623359e-01       5.413711121125e+03 
       1.125732588501e-01       5.263515154437e+03 
       1.153894477870e-01       5.108511756996e+03 
       1.182056965034e-01       4.948438933749e+03 
       1.210219849452e-01       4.784527787853e+03 
       1.238383007192e-01       4.619149207421e+03 
       1.266546360984e-01       4.455249439660e+03 
       1.294709862049e-01       4.295886228653e+03 
       1.322873479042e-01       4.143809469913e+03 
       1.351037191336e-01       4.001153115937e+03 
       1.379200984934e-01       3.869284112381e+03 
       1.407364849975e-01       3.748761798940e+03 
       1.435528779211e-01       3.639404127404e+03 
       1.463692767075e-01       3.540414861150e+03 
       1.491856809102e-01       3.450539831347e+03 
       1.520020901579e-01       3.368259031589e+03 
       1.548185041315e-01       3.291934016508e+03 
       1.576349225504e-01       3.219972462861e+03 
       1.604513451633e-01       3.150946380022e+03 
       1.632677717421e-01       3.083685272999e+03 
       1.660842020777e-01       3.017340911615e+03 
       1.689006359771e-01       2.951403049946e+03 
       1.717170732615e-01       2.885689588008e+03 
       1.745335137645e-01       2.820301065653e+03 
       1.773499573308e-01       2.755547737279e+03 
       1.801664038150e-01       2.691869241808e+03 
       1.829828530812e-01       2.629754257337e+03 
       1.857993050018e-01       2.569667915401e+03 
       1.886157594568e-01       2.511993591832e+03 
       1.914322163335e-01       2.456999303164e+03 
       1.942486755257e-01       2.404820112893e+03 
       1.970651369336e-01       2.355463091153e+03 
       1.998816004626e-01       2.308820452971e+03 
       2.026980660239e-01       2.264698251719e+03 
       2.055145335332e-01       2.222840689802e+03 
       2.083310029111e-01       2.182958327264e+03 
       2.111474740822e-01       2.144759866745e+03 
       2.139639469754e-01       2.107970695198e+03 
       2.167804215229e-01       2.072346840872e+03 
       2.195968976609e-01       2.037696014184e+03 
       2.224133753284e-01       2.003875156069e+03 
       2.252298544678e-01       1.970793645071e+03 
       2.280463350241e-01       1.938409005568e+03 
       2.308628169453e-01       1.906715184262e+03 
       2.336793001816e-01       1.875735947334e+03 
       2.364957846857e-01       1.845510186841e+03 
       2.393122704128e-01       1.816082829177e+03 
       2.421287573198e-01       1.787494744224e+03 
       2.449452453658e-01       1.759776554752e+03 
       2.477617345118e-01       1.732943466637e+03 
       2.505782247204e-01       1.706993998137e+03 
       2.533947159560e-01       1.681909126230e+03 
       2.562112081846e-01       1.657662449294e+03 
       2.590277013736e-01       1.634205467523e+03 
       2.618441954919e-01       1.611496719837e+03 
       2.646606905096e-01       1.589480053539e+03 
       2.674771863981e-01       1.568104455506e+03 
       2.702936831301e-01       1.547324425066e+03 
       2.731101806794e-01       1.527093926280e+03 
       2.759266790208e-01       1.507377146828e+03 
       2.787431781302e-01       1.488143866164e+03 
       2.815596779845e-01       1.469370737311e+03 
       2.843761785613e-01       1.451038190153e+03 
       2.871926798393e-01       1.433135092634e+03 
       2.900091817980e-01       1.415652147601e+03 
       2.928256844176e-01       1.398581091774e+03 
       2.956421876793e-01       1.381915611317e+03 
       2.984586915647e-01       1.365651067909e+03 
       3.012751960562e-01       1.349778863245e+03 
       3.040917011369e-01       1.334293466634e+03 
       3.069082067905e-01       1.319183920781e+03 
       3.097247130014e-01       1.304440127383e+03 
       3.125412197544e-01       1.290051303576e+03 
       3.153577270349e-01       1.276005063023e+03 
       3.181742348288e-01       1.262287206204e+03 
       3.209907431225e-01       1.248888466726e+03 
       3.238072519031e-01       1.235793355195e+03 
       3.266237611577e-01       1.222990213292e+03 
       3.294402708743e-01       1.210470676715e+03 
       3.322567810409e-01       1.198221169122e+03 
       3.350732916463e-01       1.186235077395e+03 
       3.378898026794e-01       1.174500831065e+03 
       3.407063141295e-01       1.163013132374e+03 
       3.435228259863e-01       1.151763481324e+03 
       3.463393382400e-01       1.140745624030e+03 
       3.491558508807e-01       1.129953495618e+03 
       3.519723638993e-01       1.119380497635e+03 
       3.547888772867e-01       1.109021824617e+03 
       3.576053910340e-01       1.098871295834e+03 
       3.604219051330e-01       1.088923707788e+03 
       3.632384195753e-01       1.079173060801e+03 
       3.660549343529e-01       1.069615065698e+03 
       3.688714494583e-01       1.060243204186e+03 
       3.716879648838e-01       1.051053611354e+03 
       3.745044806223e-01       1.042039891530e+03 
       3.773209966667e-01       1.033197979716e+03 
